D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=baseline  n_envs=8
[train] starting — target 200000 env-steps
step   112000 | loss 0.0015 | eps 0.050 | buf  100000 | score50   0.22 (max 3) |  551.8 st/s
step   114000 | loss 0.0014 | eps 0.050 | buf  100000 | score50   0.22 (max 3) |  553.1 st/s
step   116000 | loss 0.0016 | eps 0.050 | buf  100000 | score50   0.20 (max 2) |  554.2 st/s
step   118000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.20 (max 2) |  554.6 st/s
step   120000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.24 (max 2) |  555.3 st/s
step   122000 | loss 0.0020 | eps 0.050 | buf  100000 | score50   0.24 (max 3) |  556.8 st/s
step   124000 | loss 0.0009 | eps 0.050 | buf  100000 | score50   0.26 (max 3) |  558.5 st/s
  >> EVAL @ 125000: mean=6.55 max=29 (best_mean=6.55)
step   126000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.24 (max 3) |  529.3 st/s
step   128000 | loss 0.0185 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  530.1 st/s
step   130000 | loss 0.0084 | eps 0.050 | buf  100000 | score50   0.34 (max 3) |  530.4 st/s
step   132000 | loss 0.0038 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  530.9 st/s
step   134000 | loss 0.0127 | eps 0.050 | buf  100000 | score50   0.16 (max 2) |  531.1 st/s
step   136000 | loss 0.0010 | eps 0.050 | buf  100000 | score50   0.20 (max 2) |  531.0 st/s
step   138000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.34 (max 4) |  532.1 st/s
step   140000 | loss 0.0123 | eps 0.050 | buf  100000 | score50   0.42 (max 4) |  532.8 st/s
step   142000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.40 (max 4) |  533.0 st/s
step   144000 | loss 0.0026 | eps 0.050 | buf  100000 | score50   0.30 (max 3) |  533.9 st/s
step   146000 | loss 0.0010 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  535.2 st/s
step   148000 | loss 0.0037 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  536.2 st/s
step   150000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.36 (max 2) |  535.8 st/s
  >> EVAL @ 150000: mean=5.60 max=20 (best_mean=6.55)
step   152000 | loss 0.0010 | eps 0.050 | buf  100000 | score50   0.40 (max 3) |  517.9 st/s
step   154000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.34 (max 3) |  519.0 st/s
step   156000 | loss 0.0014 | eps 0.050 | buf  100000 | score50   0.36 (max 3) |  519.8 st/s
step   158000 | loss 0.0043 | eps 0.050 | buf  100000 | score50   0.42 (max 4) |  520.8 st/s
step   160000 | loss 0.0050 | eps 0.050 | buf  100000 | score50   0.46 (max 4) |  521.4 st/s
step   162000 | loss 0.0015 | eps 0.050 | buf  100000 | score50   0.50 (max 4) |  522.6 st/s
step   164000 | loss 0.0031 | eps 0.050 | buf  100000 | score50   0.56 (max 4) |  523.9 st/s
step   166000 | loss 0.0273 | eps 0.050 | buf  100000 | score50   0.56 (max 3) |  524.7 st/s
step   168000 | loss 0.0015 | eps 0.050 | buf  100000 | score50   0.52 (max 2) |  525.2 st/s
step   170000 | loss 0.0044 | eps 0.050 | buf  100000 | score50   0.52 (max 3) |  526.7 st/s
step   172000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  528.1 st/s
step   174000 | loss 0.0010 | eps 0.050 | buf  100000 | score50   0.36 (max 3) |  529.4 st/s
  >> EVAL @ 175000: mean=1.65 max=8 (best_mean=6.55)
step   176000 | loss 0.0054 | eps 0.050 | buf  100000 | score50   0.32 (max 3) |  522.0 st/s
step   178000 | loss 0.0030 | eps 0.050 | buf  100000 | score50   0.34 (max 4) |  522.9 st/s
step   180000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.38 (max 4) |  523.2 st/s
step   182000 | loss 0.0103 | eps 0.050 | buf  100000 | score50   0.56 (max 4) |  523.7 st/s
step   184000 | loss 0.0033 | eps 0.050 | buf  100000 | score50   0.64 (max 4) |  524.2 st/s
step   186000 | loss 0.0043 | eps 0.050 | buf  100000 | score50   0.82 (max 4) |  525.1 st/s
step   188000 | loss 0.0020 | eps 0.050 | buf  100000 | score50   0.70 (max 4) |  525.0 st/s
step   190000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.56 (max 4) |  526.0 st/s
step   192000 | loss 0.0033 | eps 0.050 | buf  100000 | score50   0.62 (max 4) |  527.4 st/s
step   194000 | loss 0.0016 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  528.1 st/s
step   196000 | loss 0.0035 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  528.2 st/s
step   198000 | loss 0.0013 | eps 0.050 | buf  100000 | score50   0.24 (max 3) |  529.1 st/s
step   200000 | loss 0.0208 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  530.5 st/s
  >> EVAL @ 200000: mean=25.73 max=72 (best_mean=25.73)
[train] DONE. final eval mean=25.73 max=72 best_mean=25.73
[train] final checkpoint -> checkpoints\baseline\ckpt_final.pt
