D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=rainbow  n_envs=8
[train] starting — target 300000 env-steps
step     2000 | loss None | eps 1.000 | buf    1960 | score50   0.00 (max 0) | 2501.1 st/s
step   112000 | loss 2.5025 | eps 1.000 | buf  109074 | score50   0.00 (max 0) |  600.8 st/s
step   114000 | loss 2.4771 | eps 1.000 | buf  111036 | score50   0.00 (max 0) |  600.0 st/s
step   116000 | loss 2.4562 | eps 1.000 | buf  113002 | score50   0.00 (max 0) |  600.0 st/s
step   118000 | loss 2.2975 | eps 1.000 | buf  114967 | score50   0.00 (max 0) |  600.4 st/s
step   120000 | loss 1.9665 | eps 1.000 | buf  116934 | score50   0.00 (max 0) |  601.4 st/s
step   122000 | loss 2.2231 | eps 1.000 | buf  118902 | score50   0.00 (max 0) |  601.9 st/s
step   124000 | loss 2.4079 | eps 1.000 | buf  120872 | score50   0.00 (max 0) |  602.7 st/s
  >> EVAL @ 125000: mean=0.70 max=4 (best_mean=0.70)
step   126000 | loss 2.4077 | eps 1.000 | buf  122842 | score50   0.00 (max 0) |  593.4 st/s
step   128000 | loss 2.3544 | eps 1.000 | buf  124812 | score50   0.00 (max 0) |  593.9 st/s
step   130000 | loss 2.3627 | eps 1.000 | buf  126782 | score50   0.04 (max 1) |  592.5 st/s
step   132000 | loss 2.0302 | eps 1.000 | buf  128752 | score50   0.08 (max 1) |  592.1 st/s
step   134000 | loss 2.2526 | eps 1.000 | buf  130724 | score50   0.12 (max 1) |  592.1 st/s
step   136000 | loss 2.1098 | eps 1.000 | buf  132698 | score50   0.12 (max 1) |  592.6 st/s
step   138000 | loss 2.1428 | eps 1.000 | buf  134668 | score50   0.14 (max 1) |  592.8 st/s
step   140000 | loss 1.9913 | eps 1.000 | buf  136643 | score50   0.14 (max 1) |  592.8 st/s
step   142000 | loss 2.1573 | eps 1.000 | buf  138618 | score50   0.18 (max 1) |  593.4 st/s
step   144000 | loss 2.2064 | eps 1.000 | buf  140594 | score50   0.34 (max 2) |  593.1 st/s
step   146000 | loss 2.0176 | eps 1.000 | buf  142570 | score50   0.34 (max 2) |  592.3 st/s
step   148000 | loss 2.0941 | eps 1.000 | buf  144538 | score50   0.32 (max 2) |  591.6 st/s
step   150000 | loss 2.1848 | eps 1.000 | buf  146512 | score50   0.30 (max 2) |  590.7 st/s
  >> EVAL @ 150000: mean=0.15 max=2 (best_mean=0.70)
step   152000 | loss 1.9025 | eps 1.000 | buf  148484 | score50   0.26 (max 2) |  584.9 st/s
step   154000 | loss 2.2156 | eps 1.000 | buf  150456 | score50   0.22 (max 2) |  585.0 st/s
step   156000 | loss 2.1109 | eps 1.000 | buf  152432 | score50   0.30 (max 2) |  585.4 st/s
step   158000 | loss 2.2502 | eps 1.000 | buf  154406 | score50   0.30 (max 2) |  585.4 st/s
step   160000 | loss 2.2050 | eps 1.000 | buf  156378 | score50   0.36 (max 2) |  585.1 st/s
step   162000 | loss 2.0424 | eps 1.000 | buf  158356 | score50   0.38 (max 2) |  585.7 st/s
step   164000 | loss 2.1903 | eps 1.000 | buf  160328 | score50   0.36 (max 2) |  586.7 st/s
step   166000 | loss 2.2347 | eps 1.000 | buf  162300 | score50   0.30 (max 2) |  588.0 st/s
step   168000 | loss 2.2758 | eps 1.000 | buf  164270 | score50   0.26 (max 1) |  588.5 st/s
step   170000 | loss 1.9279 | eps 1.000 | buf  166240 | score50   0.20 (max 2) |  588.9 st/s
step   172000 | loss 2.1929 | eps 1.000 | buf  168212 | score50   0.16 (max 2) |  589.2 st/s
step   174000 | loss 2.2305 | eps 1.000 | buf  170186 | score50   0.16 (max 2) |  589.7 st/s
  >> EVAL @ 175000: mean=0.00 max=0 (best_mean=0.70)
step   176000 | loss 2.0886 | eps 1.000 | buf  172156 | score50   0.20 (max 2) |  584.1 st/s
step   178000 | loss 2.2264 | eps 1.000 | buf  174128 | score50   0.24 (max 2) |  584.3 st/s
step   180000 | loss 2.2550 | eps 1.000 | buf  176104 | score50   0.22 (max 1) |  584.8 st/s
step   182000 | loss 2.1298 | eps 1.000 | buf  178082 | score50   0.36 (max 2) |  585.5 st/s
step   184000 | loss 2.1647 | eps 1.000 | buf  180052 | score50   0.32 (max 2) |  586.0 st/s
